CensusTract,State,County,Urban,POP2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP
29001950100,Missouri,Adair,0,3802,1456,0,0,0.0,0,0,0,0,0,0,14.8,58607,0,0,0,0,0,0,0,0,450.301374,450.301374,0.0,215.28560130000002,215.28560130000002,0.0,3746.0574460000003,0.985286019,1276.885872,0.33584583700000004,1036.015288,0.272492185,544.82195,0.143298777,3664.0894439999997,0.96372684,6.968000449,0.00183272,21.00000008,0.005523409,0.0,0.0,17.00000006,0.004471330999999999,37.00000002,0.00973172,22.00000002,0.005786428000000001,40.12339618,0.027557277999999998,87.02677476,0.059771137,3679.8728170000004,0.9678781740000001,1251.506836,0.329170657,1023.648286,0.26923942300000003,530.645079,0.139569984,3598.853818,0.9465686,6.018996812,0.001583113,21.00000008,0.005523409,0.0,0.0,17.00000006,0.004471330999999999,37.00000002,0.00973172,22.00000002,0.005786428000000001,40.12045183,0.027555255,85.37038234,0.058633504,450.301374,0.118438026,215.28560130000002,0.056624303,113.9772885,0.029978245,67.23374634,0.017683783999999998,430.0735131,0.113117705,0.999999998,0.000263019,1.999999981,0.0005260390000000001,0.0,0.0,1.0,0.000263019,16.22785987,0.004268243,0.5229091610000001,0.000137535,11.53905607,0.007925175999999999,11.4174669,0.007841667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351,1046,553,3720,7,21,0,17,37,22,43,88
29001950200,Missouri,Adair,0,3019,1223,0,0,0.0,0,0,0,0,0,0,15.9,48750,1,1,0,0,0,1,0,0,668.4596819,668.4596819,0.0,278.4347088,278.4347088,0.0,3018.999988,0.9999999959999999,1348.8214779999998,0.44677756799999996,722.9999988,0.239483272,509.9999966,0.168930108,2963.999989,0.9817820429999999,5.000000076,0.001656178,8.000000023,0.0026498840000000004,0.0,0.0,11.99999995,0.003974826,30.00000026,0.009937065,21.99999998,0.007287180999999999,36.67274975,0.029985895,150.2838971,0.122881355,3018.929115,0.99997652,1348.793523,0.446768309,722.9763745,0.23947544699999998,509.9999966,0.168930108,2963.929116,0.9817585679999999,5.000000076,0.001656178,8.000000023,0.0026498840000000004,0.0,0.0,11.99999995,0.003974826,30.00000026,0.009937065,21.99999998,0.007287180999999999,36.67198768,0.029985272,150.2809941,0.122878981,668.4596819,0.221417583,278.4347088,0.092227462,161.7143061,0.05356552,111.3337105,0.036877678,658.1815402999999,0.218013097,2.364159756,0.0007830939999999999,0.0,0.0,0.0,0.0,4.913981445,0.001627685,3.000000023,0.000993707,2.000000005,0.0006624710000000001,4.468505905,0.003653725,32.61694786,0.026669622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348,723,510,2964,5,8,0,12,30,22,35,145
29001950300,Missouri,Adair,1,2951,1388,0,52,0.017621099999999997,0,1,0,1,1,1,44.0,35117,0,1,0,1,0,0,0,1,186.8360712,1711.1911469999998,186.8360712,59.62853346,1018.247809,59.62853346,1711.1911469999998,0.57986823,1018.247809,0.34505178200000003,274.8254853,0.09312961199999999,153.1265841,0.051889727000000004,1585.44935,0.5372583360000001,22.50123493,0.007624953,43.24059676,0.014652862,3.0,0.001016605,5.087524458,0.0017239999999999998,51.91244342,0.017591475,34.98336454,0.011854749,108.52719540000001,0.078189622,140.1402221,0.10096557800000001,186.8360712,0.063312799,59.62853346,0.020206213,29.7259266,0.010073171,36.04441236,0.012214303999999999,186.11014450000002,0.063066806,0.0,0.0,0.0,0.0,0.0,0.0,0.362963425,0.00012299700000000002,0.362963425,0.00012299700000000002,2.999999825,0.001016604,5.55802139,0.004004338,13.88877468,0.010006322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1939,483,269,2721,49,73,3,10,95,77,214,241
29001950400,Missouri,Adair,0,3892,1727,0,41,0.0105344,0,0,0,0,0,0,11.5,63310,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2626.262657,0.674784855,906.9682707999999,0.233033985,720.2304922000001,0.185054083,379.5055292,0.097509129,2489.865298,0.639739285,25.00019988,0.006423484,43.62631214,0.011209226999999999,2.411482096,0.0006196000000000001,8.172324347,0.002099775,57.18703892,0.014693484,52.00064611,0.013360906,57.78534917,0.033459959,132.8781335,0.076941594,472.7272192,0.121461259,167.45070080000002,0.043024332,137.20428230000002,0.035252899,64.19031272,0.016492886000000002,444.5661003000001,0.11422561699999999,5.280929304,0.0013568679999999998,4.429877723,0.0011382010000000001,0.0,0.0,1.795279316,0.000461274,16.65502645,0.004279298,14.22632561,0.003655274,11.6330277,0.0067359740000000005,23.4057196,0.01355282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306,975,663,3703,36,60,4,13,76,83,103,206
29001950500,Missouri,Adair,1,7079,2992,0,379,0.0535386,1,1,1,1,1,1,27.5,58163,1,1,1,1,1,0,0,1,5399.865322,7078.999988,5399.865322,2697.1134899999997,3501.551576,2697.1134899999997,7078.999988,0.999999998,3501.551576,0.494639296,1358.9999970000001,0.191976267,997.9999923,0.140980363,6580.999984,0.929651078,148.9999998,0.021048171,133.9999995,0.018929227,2.0,0.000282526,19.99999989,0.0028252579999999998,193.0000001,0.027263738,172.0,0.024297217000000003,360.5683685,0.120510818,424.5129575,0.14188267300000001,5399.865322,0.762800582,2697.1134899999997,0.381002047,1081.139234,0.152724853,764.0189187999999,0.107927521,5024.877624000001,0.709828736,109.9262605,0.015528501,95.84610574,0.013539498,1.0,0.000141263,15.87129733,0.002242025,152.3440321,0.021520558,134.1032783,0.018943816999999998,218.8993807,0.073161558,322.6638605,0.107842199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3374,1359,998,6581,149,134,2,20,193,172,337,416
29001950900,Missouri,Adair,1,2277,1017,0,0,0.0,0,1,0,0,0,1,53.9,32500,0,1,0,1,0,0,0,0,0.0,746.1382238,0.0,0.0,603.1289937999999,0.0,746.1382238,0.32768477100000004,603.1289937999999,0.264878785,63.88089889,0.028054852,30.78052494,0.013518017,637.9963976,0.280191655,22.63289154,0.009939785,57.03305160000001,0.025047452999999997,1.0,0.000439174,1.00000006,0.000439174,26.47588794,0.011627531000000002,15.68153068,0.006886926,23.19972802,0.022811925,59.02506597,0.058038413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1615,373,208,2086,41,81,1,4,64,51,107,163
29001951000,Missouri,Adair,1,2587,74,1,2428,0.9385388000000001,0,1,0,0,0,1,61.1,36250,0,1,0,1,0,0,0,0,167.6065828,2586.999975,167.6065828,122.74720819999999,1524.02298,122.74720819999999,2586.999975,0.99999999,1524.02298,0.589108226,12.99999952,0.005025125,8.999999553,0.003478933,2290.9999629999998,0.885581741,120.999999,0.046772323,75.99999992,0.029377657,2.9999998810000004,0.001159644,3.0,0.001159644,92.99999877,0.035948975,95.99999857,0.037108619,35.19999828,0.475675652,7.655172284,0.103448274,167.6065828,0.06478801,122.74720819999999,0.047447703,5.228402138,0.002021029,2.715650082,0.001049729,142.66447,0.055146682999999995,12.82829762,0.004958754,4.160502621,0.0016082339999999998,1.045680404,0.000404206,0.0,0.0,6.907633202,0.002670133,8.447053195,0.003265193,13.02982339,0.176078695,3.44486218,0.046552192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68,13,9,2291,121,76,3,3,93,96,25,6
29003010100,Missouri,Andrew,0,5439,2078,0,0,0.0,0,0,0,0,0,0,7.7,76194,0,0,0,0,0,0,0,0,69.01665705,69.01665705,0.0,13.71484847,13.71484847,0.0,5369.070943,0.98714303,1255.2987460000002,0.23079587199999999,1229.5820640000002,0.22606767100000003,765.7126271000001,0.140781877,5187.999697,0.953851755,43.2430005,0.007950542,19.00000054,0.003493289,0.9999999629999999,0.000183857,17.95946391,0.003301979,99.86878164,0.018361607,132.0906789,0.024285839,33.51148535,0.016126798,104.7124287,0.050390967,4290.00317,0.788748515,1001.1794699999999,0.184074181,984.7026041000001,0.181044788,624.8476982999999,0.11488282699999999,4167.999627,0.7663172690000001,20.66634136,0.003799658,18.07504648,0.00332323,0.0,0.0,8.843648771,0.00162597,74.4185104,0.013682388,85.61643156,0.015741208,25.37673091,0.012212094,83.21775053,0.040047041,69.01665705,0.012689218,13.71484847,0.002521575,11.24208813,0.00206694,11.00489499,0.002023331,64.01665694,0.011769931,1.000000058,0.000183857,0.0,0.0,0.0,0.0,0.0,0.0,4.000000067,0.0007354289999999999,3.000000075,0.000551572,0.197277234,9.493610000000001e-05,1.28893896,0.0006202790000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1392,1246,771,5255,44,19,1,19,101,134,36,110
29003010200,Missouri,Andrew,1,6738,2645,0,131,0.019441999999999997,0,0,0,0,0,0,9.7,63363,1,1,1,1,1,0,0,0,1588.042322,4293.012468,1588.042322,519.4797344,1441.7866279999998,519.4797344,4293.012468,0.6371345310000001,1441.7866279999998,0.213978425,1037.309718,0.153949201,785.8864693,0.116634976,4201.883783,0.623609941,11.825495,0.001755045,18.26996614,0.0027114820000000003,1.0,0.000148412,8.158377869,0.001210801,51.87485098,0.00769885,66.04854793,0.009802397,99.59776495,0.03765511,194.38764840000002,0.073492495,1588.042322,0.23568452399999998,519.4797344,0.077097022,393.78239130000003,0.058442029000000006,187.1576747,0.027776442999999998,1554.58029,0.23071835699999999,4.946315685,0.000734093,4.411051458,0.000654653,1.0,0.000148412,1.000000046,0.000148412,22.10466723,0.003280598,20.65334787,0.003065204,33.90296446,0.012817756000000001,66.90902638,0.025296417999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268,1712,1169,6588,23,30,1,16,80,101,164,313
29003010300,Missouri,Andrew,0,2063,793,0,0,0.0,0,0,0,0,0,0,11.9,53333,0,0,0,0,0,0,0,0,272.7221126,272.7221126,0.0,66.12335706,66.12335706,0.0,2062.999995,0.999999998,652.8574522999999,0.316460229,526.9999993,0.255453223,248.99999989999998,0.120698013,2016.999997,0.977702374,3.0000000019999997,0.001454193,1.9999999569999998,0.0009694619999999999,0.0,0.0,9.999999786,0.00484731,31.000000099999998,0.01502666,21.99999982,0.010664081,31.42062194,0.039622474,62.57687067,0.078911565,2062.999995,0.999999998,652.8574522999999,0.316460229,526.9999993,0.255453223,248.99999989999998,0.120698013,2016.999997,0.977702374,3.0000000019999997,0.001454193,1.9999999569999998,0.0009694619999999999,0.0,0.0,9.999999786,0.00484731,31.000000099999998,0.01502666,21.99999982,0.010664081,31.42062194,0.039622474,62.57687067,0.078911565,272.7221126,0.132196855,66.12335706,0.032052039,87.37285309,0.042352328,37.46047996,0.018158255,265.72211239999996,0.128803738,1.0,0.00048473099999999996,0.99999997,0.00048473099999999996,0.0,0.0,2.000000013,0.0009694619999999999,2.999999953,0.001454193,0.028156347999999998,1.36483e-05,4.969589873,0.006266821999999999,7.7560159870000005,0.0097806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580,527,249,2017,3,2,0,10,31,22,30,58
