,State,County,GroceryStores,SupercentersClubStores,ConvenienceStores,SpecializedFoodStores,FastFoodRestaurants,FullServiceRestaurants
0,AL,Autauga,6,1,29,2,30,34
1,AL,Baldwin,24,6,119,21,112,202
2,AL,Barbour,5,0,14,2,21,12
3,AL,Bibb,6,1,19,0,7,6
4,AL,Blount,6,1,31,2,24,19
5,AL,Bullock,2,0,2,1,4,2
6,AL,Butler,3,1,24,1,17,19
7,AL,Calhoun,25,3,88,2,95,67
8,AL,Chambers,7,1,22,1,22,19
9,AL,Cherokee,4,1,14,1,16,10
10,AL,Chilton,7,1,37,4,23,17
11,AL,Choctaw,4,0,16,1,4,7
12,AL,Clarke,6,2,18,2,23,13
13,AL,Clay,3,0,8,1,4,7
14,AL,Cleburne,3,0,11,0,7,4
15,AL,Coffee,7,1,30,0,35,31
16,AL,Colbert,9,1,43,3,41,40
17,AL,Conecuh,3,0,16,1,5,4
18,AL,Coosa,0,0,9,0,0,0
19,AL,Covington,10,1,27,2,25,24
20,AL,Crenshaw,4,0,12,0,3,9
21,AL,Cullman,10,1,54,6,50,44
22,AL,Dale,7,1,33,1,33,31
23,AL,Dallas,9,1,39,0,20,16
24,AL,DeKalb,12,1,46,1,41,35
25,AL,Elmore,10,2,57,0,29,34
26,AL,Escambia,8,0,33,2,22,20
27,AL,Etowah,19,2,63,1,82,54
28,AL,Fayette,5,1,7,0,12,5
29,AL,Franklin,6,1,23,1,22,17
30,AL,Geneva,11,0,15,0,10,8
31,AL,Greene,5,0,8,0,1,3
32,AL,Hale,4,0,13,0,5,5
33,AL,Henry,4,0,13,2,10,9
34,AL,Houston,14,3,63,9,83,75
35,AL,Jackson,15,1,34,2,30,29
36,AL,Jefferson,108,17,433,48,578,368
37,AL,Lamar,4,0,8,0,7,10
38,AL,Lauderdale,15,2,57,2,61,61
39,AL,Lawrence,7,1,18,1,25,15
40,AL,Lee,13,3,74,1,108,94
41,AL,Limestone,12,1,58,2,45,35
42,AL,Lowndes,2,0,10,0,2,0
43,AL,Macon,5,0,14,0,10,5
44,AL,Madison,35,10,211,13,300,222
45,AL,Marengo,4,1,22,0,16,12
46,AL,Marion,5,2,18,1,26,20
47,AL,Marshall,19,3,65,5,70,70
48,AL,Mobile,60,8,260,28,253,212
49,AL,Monroe,7,0,15,0,10,8
50,AL,Montgomery,33,6,131,17,169,139
51,AL,Morgan,22,2,91,7,100,57
52,AL,Perry,5,0,8,0,2,5
53,AL,Pickens,4,0,11,0,6,6
54,AL,Pike,9,1,17,0,30,20
55,AL,Randolph,4,1,17,1,11,17
56,AL,Russell,8,1,37,1,44,25
57,AL,St. Clair,11,2,52,0,48,48
58,AL,Shelby,26,6,100,5,128,133
59,AL,Sumter,3,0,19,1,7,5
60,AL,Talladega,7,2,78,1,49,45
61,AL,Tallapoosa,5,1,39,0,24,22
62,AL,Tuscaloosa,27,4,108,5,158,104
63,AL,Walker,12,2,51,1,45,39
64,AL,Washington,3,0,10,1,4,6
65,AL,Wilcox,10,0,7,0,6,6
66,AL,Winston,8,0,22,0,12,19
67,AK,Aleutians East,4,0,0,0,1,0
68,AK,Aleutians West,3,0,1,1,2,3
69,AK,Anchorage,37,9,61,20,207,208
70,AK,Bethel,25,0,5,0,5,4
71,AK,Bristol Bay,3,0,0,0,0,2
72,AK,Denali,0,0,4,0,1,7
73,AK,Dillingham,5,0,2,0,0,3
74,AK,Fairbanks North Star,8,3,25,6,43,59
75,AK,Haines,3,0,0,0,1,6
76,AK,Hoonah-Angoon,0,0,0,0,0,0
77,AK,Juneau,7,3,4,1,22,32
78,AK,Kenai Peninsula,21,1,21,9,36,69
79,AK,Ketchikan Gateway,3,0,5,2,7,13
80,AK,Kodiak Island,4,0,1,2,6,9
81,AK,Lake and Peninsula,1,0,0,0,0,0
82,AK,Matanuska-Susitna,13,3,22,4,36,45
83,AK,Nome,15,0,1,0,4,5
84,AK,North Slope,10,0,2,0,4,5
85,AK,Northwest Arctic,6,0,2,0,1,0
86,AK,Petersburg,0,0,0,0,0,0
87,AK,Prince of Wales-Hyder,0,0,0,0,0,0
88,AK,Sitka,4,0,2,1,4,10
89,AK,Skagway,0,0,0,0,0,0
90,AK,Southeast Fairbanks,4,0,6,0,6,8
91,AK,Valdez-Cordova,8,0,7,2,9,10
92,AK,Wade Hampton,17,0,1,0,0,0
93,AK,Wrangell,0,0,0,0,0,0
94,AK,Yakutat,2,0,0,0,1,0
95,AK,Yukon-Koyukuk,12,0,5,0,0,2
96,AZ,Apache,10,0,35,0,15,19
97,AZ,Cochise,17,2,60,6,52,100
98,AZ,Coconino,19,2,82,10,112,160
99,AZ,Gila,9,1,28,2,33,49
100,AZ,Graham,7,1,17,1,16,17
101,AZ,Greenlee,1,0,7,1,3,6
102,AZ,La Paz,11,1,22,2,15,24
103,AZ,Maricopa,512,83,999,229,2674,2191
104,AZ,Mohave,19,3,90,5,109,123
105,AZ,Navajo,18,2,55,1,55,77
106,AZ,Pima,128,12,282,54,590,607
107,AZ,Pinal,33,7,74,14,122,98
108,AZ,Santa Cruz,9,1,18,6,31,41
109,AZ,Yavapai,34,5,81,10,141,204
110,AZ,Yuma,34,5,64,9,103,83
111,AR,Arkansas,5,1,10,0,18,12
112,AR,Ashley,8,1,14,0,13,9
113,AR,Baxter,7,1,27,2,31,44
114,AR,Benton,30,7,79,9,137,132
115,AR,Boone,4,1,18,2,25,23
116,AR,Bradley,3,0,7,0,4,5
117,AR,Calhoun,2,0,2,2,2,2
118,AR,Carroll,5,1,15,5,19,50
119,AR,Chicot,5,0,11,0,6,8
120,AR,Clark,5,1,10,0,20,11
121,AR,Clay,3,0,6,0,11,9
122,AR,Cleburne,9,1,15,3,17,24
123,AR,Cleveland,2,0,5,0,2,0
124,AR,Columbia,4,1,17,2,15,9
125,AR,Conway,4,1,16,1,9,13
126,AR,Craighead,19,3,28,3,79,65
127,AR,Crawford,8,2,27,2,28,36
128,AR,Crittenden,11,1,23,2,35,19
129,AR,Cross,4,1,5,0,9,12
130,AR,Dallas,2,0,7,0,4,4
131,AR,Desha,6,0,10,0,10,16
132,AR,Drew,2,1,11,0,15,11
133,AR,Faulkner,11,2,43,1,62,71
134,AR,Franklin,2,0,8,1,6,10
135,AR,Fulton,1,0,5,0,7,6
136,AR,Garland,18,4,49,7,75,98
137,AR,Grant,3,1,8,0,9,8
138,AR,Greene,4,1,17,1,27,24
139,AR,Hempstead,8,1,15,2,12,11
140,AR,Hot Spring,7,1,18,1,17,8
141,AR,Howard,5,1,11,0,8,5
142,AR,Independence,5,1,12,1,22,22
143,AR,Izard,4,0,7,0,3,6
144,AR,Jackson,4,0,8,1,5,10
145,AR,Jefferson,15,1,36,8,62,31
146,AR,Johnson,1,1,13,0,17,10
147,AR,Lafayette,3,0,7,2,2,3
148,AR,Lawrence,5,0,10,3,4,9
149,AR,Lee,1,0,1,0,3,2
150,AR,Lincoln,1,0,6,0,2,10
151,AR,Little River,3,1,7,0,3,7
152,AR,Logan,3,0,14,0,12,13
153,AR,Lonoke,11,1,28,2,38,37
154,AR,Madison,3,0,12,1,2,9
155,AR,Marion,4,1,6,0,6,12
156,AR,Miller,11,1,26,1,24,21
157,AR,Mississippi,15,1,26,1,32,25
