FIPS,State,County,FFR09,FFR14,PCH_FFR_09_14,FFRPTH09,FFRPTH14,PCH_FFRPTH_09_14,FSR09,FSR14,PCH_FSR_09_14,FSRPTH09,FSRPTH14,PCH_FSRPTH_09_14,PC_FFRSALES07,PC_FFRSALES12,PC_FSRSALES07,PC_FSRSALES12
01001,AL,Autauga,30,36,20,0.55417013,0.649878148,17.27051178,34,29,-14.70588235,0.628059481,0.523512952,-16.64595977,649.511367,674.8027204,484.381507,512.2809873
01003,AL,Baldwin,112,132,17.85714286,0.624282354,0.659633903,5.662750031,202,221,9.405940594,1.125937817,1.104387065,-1.914026824,649.511367,674.8027204,484.381507,512.2809873
01005,AL,Barbour,21,22,4.761904762,0.759301443,0.818239298,7.762115521,12,15,25,0.433886539,0.55789043,28.57979693,649.511367,674.8027204,484.381507,512.2809873
01007,AL,Bibb,7,5,-28.57142857,0.305130552,0.222162979,-27.19084435,6,5,-16.66666667,0.261540473,0.222162979,-15.05598507,649.511367,674.8027204,484.381507,512.2809873
01009,AL,Blount,24,21,-12.5,0.418548682,0.363831667,-13.07303488,19,15,-21.05263158,0.33135104,0.259879762,-21.56965553,649.511367,674.8027204,484.381507,512.2809873
01011,AL,Bullock,4,3,-25,0.364066624,0.2787068,-23.44620959,2,1,-50,0.182033312,0.092902267,-48.96413973,649.511367,674.8027204,484.381507,512.2809873
01013,AL,Butler,17,17,0,0.814683472,0.837603469,2.813362239,19,10,-47.36842105,0.910528586,0.492707923,-45.88770409,649.511367,674.8027204,484.381507,512.2809873
01015,AL,Calhoun,95,103,8.421052632,0.802615682,0.888574485,10.70983344,67,77,14.92537313,0.566055271,0.66427413,17.35146089,649.511367,674.8027204,484.381507,512.2809873
01017,AL,Chambers,22,26,18.18181818,0.63983248,0.763000352,19.25001868,19,16,-15.78947368,0.552582597,0.469538678,-15.02832677,649.511367,674.8027204,484.381507,512.2809873
01019,AL,Cherokee,16,15,-6.25,0.618859751,0.576103238,-6.908918078,10,11,10,0.386787344,0.422475708,9.226869455,649.511367,674.8027204,484.381507,512.2809873
01021,AL,Chilton,23,20,-13.04347826,0.528930181,0.455259384,-13.92826498,17,18,5.882352941,0.390948395,0.409733446,4.804994999,649.511367,674.8027204,484.381507,512.2809873
01023,AL,Choctaw,4,6,50,0.286204923,0.45034902,57.35194776,7,5,-28.57142857,0.500858615,0.37529085,-25.07050107,649.511367,674.8027204,484.381507,512.2809873
01025,AL,Clarke,23,26,13.04347826,0.883324372,1.042293045,17.99663608,13,15,15.38461539,0.499270297,0.60132291,20.44035339,649.511367,674.8027204,484.381507,512.2809873
01027,AL,Clay,4,4,0,0.285591889,0.295159386,3.350059032,7,6,-14.28571429,0.499785806,0.442739079,-11.41423512,649.511367,674.8027204,484.381507,512.2809873
01029,AL,Cleburne,7,8,14.28571429,0.469231801,0.530503979,13.05797651,4,2,-50,0.268132457,0.132625995,-50.53713528,649.511367,674.8027204,484.381507,512.2809873
01031,AL,Coffee,35,34,-2.857142857,0.707928803,0.667858335,-5.660239699,31,28,-9.677419355,0.627022654,0.550000982,-12.28371433,649.511367,674.8027204,484.381507,512.2809873
01033,AL,Colbert,41,52,26.82926829,0.75331643,0.953376235,26.55720727,40,38,-5,0.734942858,0.696698018,-5.20378417,649.511367,674.8027204,484.381507,512.2809873
01035,AL,Conecuh,5,7,40,0.376676209,0.552486188,46.67403315,4,4,0,0.301340967,0.315706393,4.767166535,649.511367,674.8027204,484.381507,512.2809873
01037,AL,Coosa,0,1,,0,0.091861106,,0,0,0,0,0,0,649.511367,674.8027204,484.381507,512.2809873
01039,AL,Covington,25,24,-4,0.664045899,0.633011552,-4.673524292,24,18,-25,0.637484063,0.474758664,-25.52619085,649.511367,674.8027204,484.381507,512.2809873
