,County,GroceryStores,Supercenters & Club Stores,Convience Stores,Specialized Food Stores,Fast Food Restaurants,Full Service Restaurants
1483,Adair,3,1,14,1,20,20
1484,Andrew,3,0,12,1,7,4
1485,Atchison,4,0,4,1,2,4
1486,Audrain,4,1,17,0,13,14
1487,Barry,7,2,24,0,13,28
1488,Barton,2,1,8,0,7,6
1489,Bates,4,0,11,1,9,12
1490,Benton,4,1,12,1,4,26
1491,Bollinger,2,0,8,1,2,6
1492,Boone,26,4,65,10,122,158
1493,Buchanan,14,3,38,6,73,62
1494,Butler,12,1,31,1,26,25
1495,Caldwell,5,0,6,0,4,7
1496,Callaway,5,1,26,0,22,23
1497,Camden,8,2,36,7,29,95
1498,Cape Girardeau,10,3,42,6,56,73
1499,Carroll,2,0,7,1,4,7
1500,Carter,5,0,2,0,3,3
1501,Cass,13,2,42,4,51,60
1502,Cedar,3,0,9,0,8,12
1503,Chariton,3,0,6,0,2,7
1504,Christian,8,2,33,3,40,41
1505,Clark,2,0,8,0,2,4
1506,Clay,32,4,55,11,155,142
1507,Clinton,2,0,10,2,5,11
1508,Cole,11,2,38,7,54,54
1509,Cooper,3,0,14,1,15,12
1510,Crawford,3,0,13,0,10,15
1511,Dade,1,0,8,1,5,7
1512,Dallas,3,0,13,1,9,7
1513,Daviess,3,0,5,1,2,5
1514,DeKalb,3,1,5,0,3,3
1515,Dent,5,1,8,1,7,7
1516,Douglas,2,1,10,1,4,10
1517,Dunklin,14,1,23,1,17,26
1518,Franklin,18,3,49,5,56,63
1519,Gasconade,7,1,11,0,9,19
1520,Gentry,3,0,7,0,6,5
1521,Greene,36,7,120,12,239,219
1522,Grundy,5,0,5,0,5,6
1523,Harrison,4,1,9,2,5,9
1524,Henry,3,1,21,1,13,28
1525,Hickory,1,0,2,0,1,10
1526,Holt,2,0,7,0,5,3
1527,Howard,3,0,4,1,2,7
1528,Howell,9,1,31,1,27,28
1529,Iron,4,0,11,0,1,7
1530,Jackson,98,11,235,42,502,457
1531,Jasper,11,5,67,6,98,100
1532,Jefferson,26,2,88,7,118,95
1533,Johnson,5,1,24,2,32,35
1534,Knox,1,0,2,0,0,4
1535,Laclede,8,1,27,1,19,29
1536,Lafayette,7,0,19,3,21,23
1537,Lawrence,8,0,27,0,18,27
1538,Lewis,2,0,9,1,0,13
1539,Lincoln,5,1,24,3,19,24
1540,Linn,2,1,7,1,6,7
1541,Livingston,3,1,8,0,4,13
1542,McDonald,4,1,18,1,5,11
1543,Macon,3,0,14,1,8,13
1544,Madison,2,1,9,0,7,9
1545,Maries,2,0,7,0,2,8
1546,Marion,7,1,28,0,23,25
1547,Mercer,1,0,2,0,1,6
1548,Miller,6,0,20,0,16,24
1549,Mississippi,6,0,8,0,7,10
1550,Moniteau,3,0,10,0,8,10
1551,Monroe,2,0,6,0,2,10
1552,Montgomery,6,0,5,0,4,8
1553,Morgan,8,1,14,1,3,30
1554,New Madrid,6,1,13,0,10,14
1555,Newton,7,1,36,3,29,32
1556,Nodaway,1,1,8,1,13,13
1557,Oregon,4,0,7,0,3,6
1558,Osage,4,0,9,0,2,14
1559,Ozark,3,0,7,0,4,6
1560,Pemiscot,7,0,10,2,6,13
1561,Perry,3,1,14,1,12,16
1562,Pettis,9,1,22,2,30,31
1563,Phelps,8,1,27,0,29,31
1564,Pike,5,0,16,0,7,12
1565,Platte,12,1,21,6,66,71
1566,Polk,4,1,15,0,14,15
1567,Pulaski,6,1,25,3,20,34
1568,Putnam,2,0,3,0,4,1
1569,Ralls,3,0,9,0,1,4
1570,Randolph,3,1,12,1,11,17
1571,Ray,3,1,14,0,9,10
1572,Reynolds,2,0,6,0,1,2
1573,Ripley,2,0,9,0,7,1
1574,St. Charles,40,4,103,25,250,252
1575,St. Clair,6,0,7,1,1,9
1576,Ste. Genevieve,3,0,13,2,7,14
1577,St. Francois,10,2,38,2,41,35
1578,St. Louis,182,8,334,77,815,718
1579,Saline,6,1,18,0,15,14
1580,Schuyler,4,0,5,1,2,1
1581,Scotland,2,0,2,0,1,6
1582,Scott,14,0,29,1,19,32
1583,Shannon,3,0,4,0,0,8
1584,Shelby,2,0,5,0,1,7
1585,Stoddard,7,1,23,0,12,16
1586,Stone,6,1,20,1,12,32
1587,Sullivan,3,0,3,0,2,5
1588,Taney,13,1,37,7,48,78
1589,Texas,7,1,16,0,9,17
1590,Vernon,2,1,11,2,13,17
1591,Warren,4,1,11,2,10,17
1592,Washington,3,1,10,1,8,7
1593,Wayne,4,0,12,0,4,8
1594,Webster,6,1,20,1,13,16
1595,Worth,1,0,2,0,1,2
1596,Wright,6,1,13,1,9,9
1597,St. Louis,115,0,125,27,296,345
